"id","meta_key","meta_value","term_id","created_by","created_date","last_modified_by","last_modified_date"
3398,"displayName.my-zawgyi","အမ်ဳိးသား ဖက္ရွင္",1001,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3399,"displayName.my-zawgyi","အမ်ဳိးသမီး ဖက္ရွင္",1002,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3400,"displayName.my-zawgyi","ဖုန္းႏွင့္ တက္ဘလက္",1004,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3401,"displayName.my-zawgyi","ကြန္ပ်ဴတာ",1005,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3402,"displayName.my-zawgyi","ကင္မရာႏွင့္ တီဗီြ",1006,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3403,"displayName.my-zawgyi","အိမ္သုံးပစၥည္းမ်ား",1007,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3404,"displayName.my-zawgyi","မိခင္ႏွင့္ ကေလးသုံး ပစၥည္းမ်ား",1008,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3405,"displayName.my-zawgyi","က်န္းမာေရးႏွင့္ အလွအပ",1009,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3406,"displayName.my-zawgyi","အားကစား ပစၥည္းမ်ား",1010,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3407,"displayName.my-zawgyi","Spa ဝန္ေဆာင္မႈ",1011,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3408,"displayName.my-zawgyi","ေဖ်ာ္ေျဖေရး ဝန္ေဆာင္မႈ",1012,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3409,"displayName.my-zawgyi","ခရီးသြား ဝန္ေဆာင္မႈ",1013,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3410,"displayName.my-zawgyi","အျခား",1014,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
3411,"displayName.my-zawgyi","ေငြေၾကးစာရင္းႏွင့္ စာရင္းစစ္ ဝန္ေဆာင္မႈမ်ား",1015,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
