"id","meta_key","meta_value","term_id","created_by","created_date","last_modified_by","last_modified_date"
2210,"displayName.zh-tw","男士時尚",1001,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2211,"displayName.zh-tw","女士時尚",1002,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2212,"displayName.zh-tw","手機和平板電腦",1004,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2213,"displayName.zh-tw","電腦",1005,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2214,"displayName.zh-tw","相機和電視",1006,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2215,"displayName.zh-tw","居家生活",1007,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2216,"displayName.zh-tw","媽媽和孩子",1008,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2217,"displayName.zh-tw","健康與美容",1009,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2218,"displayName.zh-tw","運動",1010,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2219,"displayName.zh-tw","水療優惠",1011,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2220,"displayName.zh-tw","娛樂優惠",1012,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2221,"displayName.zh-tw","旅遊優惠",1013,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2222,"displayName.zh-tw","其他",1014,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2223,"displayName.zh-tw","會計與審計服務",1015,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2224,"displayName.zh-tw","廣告與公共關係",1016,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2225,"displayName.zh-tw","農業/林業/漁業",1017,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2226,"displayName.zh-tw","航空",1018,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2227,"displayName.zh-tw","建築",1019,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2228,"displayName.zh-tw","汽車",1020,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2229,"displayName.zh-tw","銀行業",1021,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2230,"displayName.zh-tw","美容/化妝品",1022,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2231,"displayName.zh-tw","生物技術/製藥",1023,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2232,"displayName.zh-tw","廣播/音樂/電影",1024,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2233,"displayName.zh-tw","化工/石油化工",1025,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2234,"displayName.zh-tw","服裝和紡織製造",1026,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2235,"displayName.zh-tw","電腦/IT",1027,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2236,"displayName.zh-tw","建築施工",1028,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2237,"displayName.zh-tw","顧問",1029,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2238,"displayName.zh-tw","飲食優惠",1030,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2239,"displayName.zh-tw","設計",1031,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2240,"displayName.zh-tw","分銷/物流",1032,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2241,"displayName.zh-tw","教育",1033,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2242,"displayName.zh-tw","能源/水電",1034,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2243,"displayName.zh-tw","工程",1035,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2244,"displayName.zh-tw","金融服務",1036,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2245,"displayName.zh-tw","食品/飲料生產",1037,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2246,"displayName.zh-tw","政府",1038,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2247,"displayName.zh-tw","醫療服務",1039,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2248,"displayName.zh-tw","酒店/住宿",1040,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2249,"displayName.zh-tw","進口/出口/貿易",1041,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2250,"displayName.zh-tw","保險",1042,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2251,"displayName.zh-tw","互聯網服務",1043,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2252,"displayName.zh-tw","法律服務",1044,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2253,"displayName.zh-tw","製造業",1045,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2254,"displayName.zh-tw","醫療/醫院",1046,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2255,"displayName.zh-tw","非營利組織",1047,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2256,"displayName.zh-tw","表演藝術/美術",1048,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2257,"displayName.zh-tw","個人和家庭服務",1049,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2258,"displayName.zh-tw","印刷/出版",1050,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2259,"displayName.zh-tw","房地產/物業",1051,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2260,"displayName.zh-tw","招聘機構",1052,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2261,"displayName.zh-tw","餐廳/食品服務",1053,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2262,"displayName.zh-tw","零售",1054,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2263,"displayName.zh-tw","安全/監控",1055,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2264,"displayName.zh-tw","社會服務",1056,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2265,"displayName.zh-tw","體育",1057,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2266,"displayName.zh-tw","電信服務",1058,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2267,"displayName.zh-tw","旅遊服務",1059,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2268,"displayName.zh-tw","運輸和倉儲",1060,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2269,"displayName.zh-tw","其他",1061,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2270,"displayName.zh-tw","Clothing",1062,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2271,"displayName.zh-tw","T-shirts",1063,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2272,"displayName.zh-tw","Shirts",1064,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2273,"displayName.zh-tw","Vestons",1065,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2274,"displayName.zh-tw","Trousers",1066,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2275,"displayName.zh-tw","Jackets & Coats",1067,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
2276,"displayName.zh-tw","Jeans",1068,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
