id,meta_key,meta_value,term_id,created_by
4759,jobCatalogType,INDUSTRY,1016,liquibase
4760,jobCatalogType,INDUSTRY,1019,liquibase
4761,jobCatalogType,INDUSTRY,1021,liquibase
4762,jobCatalogType,INDUSTRY,1022,liquibase
4763,jobCatalogType,INDUSTRY,1031,liquibase
4764,jobCatalogType,INDUSTRY,1032,liquibase
4765,jobCatalogType,INDUSTRY,1033,liquibase
4766,jobCatalogType,INDUSTRY,1035,liquibase
4767,jobCatalogType,INDUSTRY,1044,liquibase
4768,jobCatalogType,INDUSTRY,1045,liquibase
4769,jobCatalogType,INDUSTRY,1015,liquibase
4770,jobCatalogType,INDUSTRY,1017,liquibase
4771,jobCatalogType,INDUSTRY,1023,liquibase
4772,jobCatalogType,INDUSTRY,1027,liquibase
4773,jobCatalogType,INDUSTRY,1028,liquibase
4774,jobCatalogType,INDUSTRY,1041,liquibase
4775,jobCatalogType,INDUSTRY,1046,liquibase
4776,jobCatalogType,INDUSTRY,1047,liquibase
4777,jobCatalogType,INDUSTRY,1050,liquibase
4778,jobCatalogType,INDUSTRY,1051,liquibase
4779,jobCatalogType,INDUSTRY,1053,liquibase
4780,jobCatalogType,INDUSTRY,1057,liquibase
4781,jobCatalogType,INDUSTRY,1058,liquibase
4782,jobCatalogType,INDUSTRY,1635,liquibase
4783,jobCatalogType,INDUSTRY,1638,liquibase
4784,jobCatalogType,INDUSTRY,1639,liquibase
4785,jobCatalogType,INDUSTRY,1641,liquibase
4786,jobCatalogType,INDUSTRY,1651,liquibase
4787,jobCatalogType,INDUSTRY,1048,liquibase
4788,jobCatalogType,INDUSTRY,1055,liquibase
4789,jobCatalogType,INDUSTRY,1059,liquibase
4790,jobCatalogType,INDUSTRY,1061,liquibase
