"id","name","display_name","term_level","term_order","taxonomy_id","parent_id","created_by","created_date","last_modified_by","last_modified_date"
1614,"entertainment","Entertainment",1,999,1001,1012,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1615,"training","Training",1,999,1001,1012,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1616,"clinic","Clinic",1,999,1001,1011,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1617,"nail-care","Nail Care",1,999,1001,1011,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1618,"stationery","Stationery",1,999,1001,1007,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1619,"Vehicle-accessories","Vehicle Accessories",1,999,1001,1014,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1620,"clothing-set","Clothing Set",2,999,1001,1062,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1621,"couple-shirt","Couple Shirt",2,999,1001,1062,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1622,"sportswear","Sportswear",2,999,1001,1062,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1623,"clothing-set","Clothing Set",2,999,1001,1108,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1624,"couple-shirt","Couple Shirt",2,999,1001,1108,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1625,"sportswear","Sportswear",2,999,1001,1108,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1626,"ballet-flats","Ballet Flats",2,999,1001,1119,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1627,"office-bags","Office Bags",2,999,1001,1132,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1628,"convenience-bags","Convenience Bags",2,999,1001,1132,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1629,"tote-bags","Tote Bags",2,999,1001,1132,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1630,"Motor-accessories","Motor Accessories",2,999,1001,1619,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1631,"Car-accessories","Car Accessories",2,999,1001,1619,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1632,"bike-accessories","Bike & Accessories",2,999,1001,1619,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1633,"helmet","Helmet",2,999,1001,1619,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
