"id","name","display_name","last_modified_by","last_modified_date"
1012,"activity-deals","Activity Deals","liquibase","2017-02-13T04:46:06.349Z"
1505,"cameras","Cameras","liquibase","2017-02-13T04:46:06.349Z"
