"id","name","display_name","created_by","created_date","last_modified_by","last_modified_date"
"1001","product-catalog","Product Catalog","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
"1002","company-industry","Company Industry","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
"1003","education","Education","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
"1004","hobby","Hobby","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
